,Gas Peak Obserbation of Drilling Well,,,,,,,,,,,,
,Depth,Total Gas,C1,C2,C 3,iC4,nC4,iC5,nC5,Gas,,,
,(m),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),Type,,,
,SANU,,,,,,,,,,,,
,2715,8768,1578,239,147,36,47,21,15,FG,,,
,2716,8708,1575,238,150,36,47,19,15,FG,,,
,2725,8989,1544,229,139,34,44,26,13,FG,,,
,2735,8652,1699,236,149,34,43,10,13,FG,,,
,2753,7999,1102,148,86,25,29,12,10,FG,,,
,2763,7966,1206,0,80,23,26,9,3,FG,,,
,2764,8596,1451,0,110,29,33,11,0,FG,,,
,2765,7339,1041,0,76,20,23,9,3,FG,,,
,2773,8875,1107,0,83,24,26,20,10,FG,,,
,2774,9288,1274,0,101,27,29,21,0,FG,,,
,3781,7318,777,103,54,15,15,7,3,FG,,,
,2782,8042,1313,0,91,20,19,0,5,FG,,,
,2783,9482,1836,0,153,30,30,12,6,FG,,,
,2784,8407,1255,170,102,23,23,2,5,FG,,,
,2792,9257,1186,158,89,24,24,1,6,FG,,,
,2796,8312,876,111,57,15,14,0,4,FG,,,
,2801,9851,1228,172,98,27,27,12,5,FG,,,
,2810,10110,1094,161,85,24,22,9,6,FG,,,
,2811,10162,1129,165,89,24,23,10,6,FG,,,
,2821,11092,1393,199,115,25,25,19,0,FG,,,
,2822,10401,1249,183,107,23,22,15,3,FG,,,
,2826,9533,1003,148,84,15,15,5,0,FG,,,
,2827,9929,1078,156,84,16,15,13,0,FG,,,
,2830,11250,1186,207,120,29,28,22,11,FG,,,
,2836,10056,999,155,88,16,16,17,2,FG,,,
,2837,10013,1010,0,88,16,16,9,2,FG,,,
,2840,12379,1839,310,185,31,31,13,3,FG,,,
,2843,9395,1124,0,94,15,15,8,0,FG,,,
,2844,9783,1032,0,84,15,15,7,1,FG,,,
,2846,10385,1323,0,123,18,18,0,6,FG,,,
,2847,10622,1429,0,129,19,19,7,6,FG,,,
,2858,11377,1536,0,157,27,27,8,11,FG,,,
,2859,11039,1467,0,146,26,26,11,0,FG,,,
,2866,9880,1013,0,82,15,15,6,2,FG,,,
,2869,9652,1081,0,92,17,17,0,2,FG,,,
,2870,9653,1080,0,91,16,16,10,2,FG,,,
,2871,9815,1065,0,87,16,16,6,2,FG,,,
,2874,10134,1148,0,104,16,17,7,2,FG,,,
,2875,10267,1170,0,106,16,17,9,2,FG,,,
,2879,10352,1203,0,121,17,18,8,2,FG,,,
,2880,10394,1217,0,114,17,18,6,4,FG,,,
,2884,10612,1238,0,120,16,18,6,10,FG,,,
,2885,10946,1347,0,124,17,19,10,3,FG,,,
,2886,10024,1005,0,99,16,17,8,0,FG,,,
,2887,12458,1930,0,222,32,35,10,12,FG,,,
,2888,12458,1930,0,222,32,35,10,12,FG,,,
,2889,9324,1062,0,120,17,19,7,8,FG,,,
,2890,9392,1309,0,133,18,19,7,4,FG,,,
,2891,9135,1145,0,119,17,19,7,0,FG,,,
,2900,7733,1127,0,124,16,19,11,6,FG,,,
,2901,7576,1038,0,130,17,20,8,2,FG,,,
,2902,7888,1282,0,153,18,21,7,3,FG,,,
,2903,8316,1308,0,161,19,23,11,4,FG,,,
,2904,8485,1342,0,166,20,24,7,3,FG,,,
,2906,11876,2737,0,390,45,56,0,14,FG,,,
,2907,11257,2509,0,366,42,53,29,14,FG,,,
,2908,8229,1244,0,168,21,25,8,3,FG,,,
,2911,7887,1049,0,124,20,26,11,12,FG,,,
,2916,10729,2705,0,383,35,50,9,16,FG,,,
,2917,10270,2609,0,355,32,45,6,0,FG,,,
,2918,9278,2134,0,260,22,0,7,12,FG,,,
,2919,7692,1543,0,180,17,25,6,0,FG,,,
,2920,8445,1782,0,209,19,28,4,14,FG,,,
,2921,8480,1832,0,222,20,29,6,1,FG,,,
,2922,8698,2026,0,271,21,31,4,19,FG,,,
,2923,9222,2229,0,285,22,0,6,0,FG,,,
,2926,10558,2327,0,378,37,54,0,18,FG,,,
,2930,9034,2027,0,292,23,35,4,0,FG,,,
,2931,8993,2019,0,292,23,0,6,0,FG,,,
,2935,10772,2423,0,370,34,52,6,0,FG,,,
,2936,11948,2997,0,491,44,68,35,23,FG,,,
,2983,12159,2364,0,281,29,48,34,26,FG,,,
,3020,12375,2160,0,223,13,22,2,17,FG,,,
,3021,14354,2858,0,361,21,39,22,22,FG,,,
,3022,12519,2385,0,286,17,31,16,22,FG,,,
,3036,11389,2016,0,218,12,21,3,13,FG,,,
,3036,11776,2373,0,250,13,22,2,14,FG,,,
,3039,14052,2812,0,337,20,34,20,23,FG,,,
